Order ID,Order Date,Ship Date,Year,Month,State,Region,Segment,Category,Sub-Category,Product Name,Sales,Cost,Profit,Quantity,Discount,Currency
OD-10017,14-06-2023,18-06-2023,2023,June,Washington,West,Consumer,Furniture,Chairs,Product_1,1197.2,1254.91,-57.71,4,0.1,USD
OD-10018,26-12-2023,01-01-2024,2023,December,Washington,East,Consumer,Furniture,Chairs,Product_3,1052.6,1259.37,-206.77,5,0.3,USD
OD-10019,16-05-2022,22-05-2022,2022,May,Arizona,South,Consumer,Office Supplies,Art,Product_26,843.77,662.57,181.2,2,0.0,USD
OD-10020,29-12-2022,02-01-2023,2022,December,Texas,East,Home Office,Technology,Accessories,Product_2,835.11,741.44,93.67,6,0.0,USD
OD-10021,14-07-2022,19-07-2022,2022,July,Illinois,South,Consumer,Technology,Phones,Product_15,537.12,450.76,86.36,15,0.0,USD
OD-10022,01-06-2024,08-06-2024,2024,June,California,East,Home Office,Office Supplies,Binders,Product_3,1856.42,1872.06,-15.64,14,0.1,USD
OD-10023,13-05-2023,17-05-2023,2023,May,Ohio,East,Consumer,Furniture,Tables,Product_1,1971.35,2323.61,-352.26,5,0.3,USD
OD-10024,15-12-2023,21-12-2023,2023,December,Florida,South,Consumer,Office Supplies,Art,Product_10,474.52,362.06,112.46,1,0.0,USD
OD-10025,28-02-2022,01-03-2022,2022,February,Texas,West,Consumer,Office Supplies,Paper,Product_28,412.36,322.13,90.23,10,0.0,USD
OD-10026,29-08-2022,02-09-2022,2022,August,California,West,Home Office,Furniture,Bookcases,Product_20,209.87,192.31,17.56,11,0.2,USD
OD-10027,29-07-2022,04-08-2022,2022,July,Ohio,West,Corporate,Office Supplies,Paper,Product_5,1359.8,1592.27,-232.47,5,0.3,USD
OD-10028,09-02-2024,10-02-2024,2024,February,Florida,East,Consumer,Furniture,Tables,Product_17,567.14,527.32,39.82,15,0.2,USD
OD-10029,19-06-2024,21-06-2024,2024,June,Illinois,West,Corporate,Technology,Accessories,Product_20,1968.51,1541.41,427.1,13,0.0,USD
OD-10030,22-07-2023,25-07-2023,2023,July,Texas,West,Corporate,Office Supplies,Binders,Product_29,258.72,254.04,4.68,9,0.1,USD
OD-10031,12-09-2023,14-09-2023,2023,September,Illinois,West,Home Office,Office Supplies,Paper,Product_17,1002.64,929.37,73.27,15,0.0,USD
OD-10032,10-03-2023,17-03-2023,2023,March,New York,East,Corporate,Technology,Phones,Product_21,1960.61,2180.35,-219.74,3,0.3,USD
OD-10033,14-03-2023,19-03-2023,2023,March,New York,East,Home Office,Furniture,Chairs,Product_18,120.25,113.34,6.91,6,0.1,USD
OD-10034,12-02-2022,15-02-2022,2022,February,Florida,Central,Consumer,Technology,Phones,Product_22,250.45,252.09,-1.64,13,0.3,USD
OD-10035,07-02-2024,09-02-2024,2024,February,California,West,Corporate,Furniture,Chairs,Product_6,1486.3,1559.78,-73.48,6,0.3,USD
OD-10036,03-06-2024,09-06-2024,2024,June,Texas,West,Home Office,Furniture,Tables,Product_13,1750.73,2091.06,-340.33,14,0.3,USD
OD-10037,16-04-2024,20-04-2024,2024,April,California,West,Consumer,Technology,Accessories,Product_22,426.6,398.41,28.19,6,0.2,USD
OD-10038,02-03-2024,05-03-2024,2024,March,Washington,South,Home Office,Technology,Laptops,Product_1,274.92,248.76,26.16,5,0.1,USD
OD-10039,29-09-2022,30-09-2022,2022,September,Washington,South,Corporate,Furniture,Bookcases,Product_14,1232.11,1051.85,180.26,9,0.0,USD
OD-10040,14-08-2023,16-08-2023,2023,August,Florida,South,Consumer,Technology,Phones,Product_12,891.03,885.87,5.16,11,0.2,USD
OD-10041,11-11-2023,18-11-2023,2023,November,Illinois,Central,Home Office,Furniture,Bookcases,Product_22,846.37,856.02,-9.65,7,0.2,USD
OD-10042,16-07-2022,20-07-2022,2022,July,Illinois,West,Home Office,Office Supplies,Paper,Product_13,1118.48,1206.03,-87.55,1,0.2,USD
OD-10043,17-03-2023,24-03-2023,2023,March,Arizona,Central,Corporate,Office Supplies,Art,Product_15,1367.47,1437.99,-70.52,9,0.3,USD
OD-10044,26-03-2024,01-04-2024,2024,March,Washington,East,Corporate,Furniture,Bookcases,Product_3,1645.93,1451.38,194.55,13,0.1,USD
OD-10045,19-08-2022,26-08-2022,2022,August,Florida,East,Consumer,Furniture,Chairs,Product_16,1241.98,1038.48,203.5,13,0.0,USD
OD-10046,07-10-2023,12-10-2023,2023,October,Ohio,South,Corporate,Furniture,Bookcases,Product_8,337.76,245.5,92.26,12,0.0,USD
OD-10047,31-05-2024,07-06-2024,2024,May,Arizona,West,Consumer,Furniture,Tables,Product_2,1136.94,950.35,186.59,15,0.0,USD
OD-10048,31-03-2024,04-04-2024,2024,March,Ohio,Central,Corporate,Office Supplies,Art,Product_27,1818.37,1571.23,247.14,8,0.1,USD
OD-10049,02-05-2023,06-05-2023,2023,May,Arizona,Central,Home Office,Technology,Phones,Product_21,516.53,398.56,117.97,8,0.0,USD
OD-10050,29-08-2022,01-09-2022,2022,August,New York,East,Consumer,Technology,Accessories,Product_8,796.92,823.97,-27.05,3,0.1,USD
OD-10051,22-02-2023,25-02-2023,2023,February,Florida,South,Consumer,Office Supplies,Paper,Product_27,869.28,639.63,229.65,15,0.0,USD
OD-10052,23-02-2024,28-02-2024,2024,February,Illinois,East,Corporate,Technology,Accessories,Product_25,810.47,904.03,-93.56,15,0.3,USD
OD-10053,23-01-2024,28-01-2024,2024,January,Illinois,South,Consumer,Office Supplies,Binders,Product_14,997.0,979.83,17.17,7,0.2,USD
OD-10054,28-03-2024,01-04-2024,2024,March,California,South,Consumer,Office Supplies,Binders,Product_30,818.34,760.25,58.09,10,0.0,USD
OD-10055,15-03-2023,17-03-2023,2023,March,Ohio,East,Corporate,Technology,Phones,Product_11,462.74,444.09,18.65,6,0.2,USD
OD-10056,24-01-2023,27-01-2023,2023,January,California,East,Corporate,Technology,Accessories,Product_24,1101.87,977.87,124.0,6,0.1,USD
OD-10057,10-03-2024,16-03-2024,2024,March,California,West,Consumer,Furniture,Chairs,Product_20,347.15,375.84,-28.69,3,0.3,USD
OD-10058,01-08-2023,03-08-2023,2023,August,New York,Central,Corporate,Technology,Laptops,Product_20,1234.13,932.45,301.68,12,0.0,USD
OD-10059,17-06-2022,20-06-2022,2022,June,Ohio,East,Corporate,Furniture,Bookcases,Product_13,1885.87,1512.42,373.45,4,0.0,USD
OD-10060,30-04-2024,06-05-2024,2024,April,Texas,Central,Home Office,Furniture,Chairs,Product_26,1968.5,1699.21,269.29,13,0.0,USD
OD-10061,15-03-2023,21-03-2023,2023,March,Ohio,Central,Consumer,Technology,Phones,Product_27,1005.89,996.94,8.95,7,0.2,USD
OD-10062,28-04-2024,02-05-2024,2024,April,Illinois,South,Consumer,Office Supplies,Binders,Product_20,1625.99,1843.52,-217.53,9,0.3,USD
OD-10063,25-04-2024,01-05-2024,2024,April,Texas,Central,Consumer,Office Supplies,Paper,Product_9,1769.18,1959.43,-190.25,4,0.3,USD
OD-10064,16-11-2023,20-11-2023,2023,November,New York,South,Corporate,Technology,Phones,Product_16,463.63,493.73,-30.1,13,0.2,USD
OD-10065,03-09-2023,09-09-2023,2023,September,Florida,East,Home Office,Technology,Laptops,Product_3,520.64,578.54,-57.9,7,0.3,USD
OD-10066,04-09-2022,10-09-2022,2022,September,California,South,Corporate,Technology,Laptops,Product_3,623.76,607.2,16.56,7,0.1,USD
OD-10067,19-08-2023,22-08-2023,2023,August,Washington,Central,Corporate,Technology,Laptops,Product_12,1420.57,1544.37,-123.8,5,0.2,USD
OD-10068,04-05-2022,10-05-2022,2022,May,New York,East,Home Office,Furniture,Tables,Product_7,471.95,457.25,14.7,8,0.2,USD
OD-10069,18-02-2024,23-02-2024,2024,February,Illinois,East,Consumer,Office Supplies,Paper,Product_8,753.72,582.62,171.1,5,0.0,USD
OD-10070,10-05-2022,13-05-2022,2022,May,New York,Central,Home Office,Furniture,Chairs,Product_21,1743.5,1275.93,467.57,8,0.0,USD
OD-10071,11-08-2023,14-08-2023,2023,August,New York,South,Corporate,Technology,Accessories,Product_2,542.33,662.44,-120.11,14,0.3,USD
OD-10072,08-03-2022,12-03-2022,2022,March,New York,East,Consumer,Technology,Phones,Product_26,1147.54,805.02,342.52,5,0.0,USD
OD-10073,02-05-2022,07-05-2022,2022,May,Ohio,West,Home Office,Technology,Laptops,Product_15,1821.58,2137.91,-316.33,5,0.3,USD
OD-10074,28-09-2023,29-09-2023,2023,September,Florida,East,Consumer,Office Supplies,Art,Product_9,1337.83,1346.59,-8.76,3,0.1,USD
OD-10075,18-03-2022,20-03-2022,2022,March,Arizona,South,Home Office,Furniture,Tables,Product_10,113.65,110.72,2.93,5,0.2,USD
OD-10076,10-04-2023,11-04-2023,2023,April,Florida,Central,Home Office,Office Supplies,Binders,Product_14,273.81,225.32,48.49,4,0.1,USD
OD-10077,26-04-2024,28-04-2024,2024,April,Illinois,West,Corporate,Furniture,Chairs,Product_15,292.49,285.2,7.29,12,0.2,USD
OD-10078,06-10-2022,11-10-2022,2022,October,California,South,Consumer,Office Supplies,Paper,Product_29,892.46,1020.56,-128.1,6,0.2,USD
OD-10079,23-08-2022,29-08-2022,2022,August,Illinois,East,Home Office,Office Supplies,Art,Product_19,128.45,119.76,8.69,13,0.1,USD
OD-10080,30-10-2023,03-11-2023,2023,October,Arizona,South,Home Office,Technology,Phones,Product_3,966.52,1033.92,-67.4,7,0.2,USD
OD-10081,18-04-2022,25-04-2022,2022,April,Arizona,South,Home Office,Furniture,Tables,Product_10,1342.04,1122.34,219.7,7,0.0,USD
OD-10082,19-11-2022,22-11-2022,2022,November,California,South,Home Office,Technology,Phones,Product_22,1745.27,2157.94,-412.67,8,0.3,USD
OD-10083,15-06-2023,18-06-2023,2023,June,Florida,South,Consumer,Office Supplies,Paper,Product_9,1120.98,1166.35,-45.37,15,0.2,USD
OD-10084,17-12-2023,21-12-2023,2023,December,New York,West,Home Office,Furniture,Chairs,Product_10,1124.14,1378.98,-254.84,9,0.3,USD
OD-10085,11-05-2024,12-05-2024,2024,May,Illinois,West,Corporate,Technology,Phones,Product_17,1425.55,1432.59,-7.04,7,0.3,USD
OD-10086,07-09-2022,11-09-2022,2022,September,New York,South,Consumer,Office Supplies,Binders,Product_28,186.13,216.85,-30.72,13,0.3,USD
OD-10087,17-03-2024,22-03-2024,2024,March,Illinois,Central,Home Office,Technology,Phones,Product_27,1194.53,1234.77,-40.24,11,0.3,USD
OD-10088,03-04-2023,08-04-2023,2023,April,Ohio,Central,Home Office,Technology,Accessories,Product_15,1869.06,1504.23,364.83,14,0.1,USD
OD-10089,02-09-2022,07-09-2022,2022,September,Washington,South,Consumer,Technology,Phones,Product_24,972.3,1121.53,-149.23,15,0.3,USD
OD-10090,11-11-2023,18-11-2023,2023,November,New York,South,Consumer,Office Supplies,Binders,Product_17,1932.44,1413.49,518.95,6,0.0,USD
OD-10091,27-03-2023,28-03-2023,2023,March,New York,East,Home Office,Office Supplies,Paper,Product_14,1748.32,1455.7,292.62,3,0.0,USD
OD-10092,29-09-2022,02-10-2022,2022,September,Texas,South,Home Office,Office Supplies,Art,Product_28,690.7,698.62,-7.92,11,0.3,USD
OD-10093,04-10-2023,10-10-2023,2023,October,Texas,East,Home Office,Technology,Laptops,Product_8,1280.76,1153.51,127.25,15,0.2,USD
OD-10094,04-02-2024,05-02-2024,2024,February,New York,East,Corporate,Technology,Phones,Product_23,633.96,550.85,83.11,1,0.0,USD
OD-10095,27-02-2022,02-03-2022,2022,February,Florida,South,Consumer,Technology,Accessories,Product_17,853.5,859.9,-6.4,11,0.1,USD
OD-10096,22-03-2022,27-03-2022,2022,March,New York,West,Corporate,Technology,Laptops,Product_8,949.24,1125.96,-176.72,5,0.3,USD
OD-10097,10-01-2022,17-01-2022,2022,January,Arizona,West,Consumer,Technology,Accessories,Product_12,1975.92,2128.9,-152.98,5,0.3,USD
OD-10098,13-04-2023,20-04-2023,2023,April,Texas,South,Corporate,Technology,Phones,Product_8,793.66,715.74,77.92,6,0.2,USD
OD-10099,30-10-2022,31-10-2022,2022,October,California,Central,Consumer,Office Supplies,Paper,Product_30,1232.49,1178.34,54.15,8,0.2,USD
OD-10100,24-08-2022,29-08-2022,2022,August,Illinois,West,Home Office,Technology,Phones,Product_22,1523.38,1360.28,163.1,13,0.1,USD
OD-10101,05-10-2023,11-10-2023,2023,October,Washington,South,Consumer,Furniture,Tables,Product_24,306.25,327.17,-20.92,15,0.2,USD
OD-10102,02-03-2023,04-03-2023,2023,March,Illinois,Central,Home Office,Furniture,Chairs,Product_27,370.86,373.88,-3.02,15,0.3,USD
OD-10103,30-10-2022,05-11-2022,2022,October,New York,South,Consumer,Technology,Phones,Product_25,1934.68,1950.51,-15.83,14,0.3,USD
OD-10104,03-04-2024,08-04-2024,2024,April,Illinois,South,Consumer,Technology,Phones,Product_18,291.0,292.12,-1.12,6,0.2,USD
OD-10105,22-04-2024,28-04-2024,2024,April,California,West,Corporate,Technology,Phones,Product_20,1774.26,1634.42,139.84,9,0.2,USD
OD-10106,15-08-2022,21-08-2022,2022,August,Illinois,South,Home Office,Furniture,Bookcases,Product_21,846.18,603.69,242.49,3,0.0,USD
OD-10107,08-11-2022,12-11-2022,2022,November,New York,West,Home Office,Furniture,Chairs,Product_13,934.61,1031.03,-96.42,11,0.3,USD
OD-10108,15-01-2024,17-01-2024,2024,January,Ohio,East,Corporate,Technology,Laptops,Product_9,113.8,106.88,6.92,6,0.1,USD
OD-10109,30-08-2022,06-09-2022,2022,August,Washington,Central,Home Office,Technology,Phones,Product_2,826.37,588.99,237.38,4,0.0,USD
OD-10110,23-04-2024,27-04-2024,2024,April,California,West,Home Office,Furniture,Bookcases,Product_2,1584.25,1351.77,232.48,4,0.1,USD
OD-10111,30-07-2022,31-07-2022,2022,July,Washington,West,Consumer,Office Supplies,Binders,Product_25,337.73,297.43,40.3,15,0.0,USD
OD-10112,29-05-2022,31-05-2022,2022,May,California,West,Consumer,Office Supplies,Paper,Product_5,78.98,71.3,7.68,13,0.1,USD
OD-10113,17-01-2022,19-01-2022,2022,January,Ohio,West,Home Office,Technology,Phones,Product_17,271.62,309.08,-37.46,2,0.3,USD
OD-10114,06-01-2023,11-01-2023,2023,January,Florida,South,Home Office,Office Supplies,Binders,Product_20,134.56,139.34,-4.78,13,0.2,USD
OD-10115,01-02-2022,02-02-2022,2022,February,Texas,South,Home Office,Technology,Accessories,Product_16,1439.18,1043.67,395.51,8,0.0,USD
OD-10116,26-11-2022,01-12-2022,2022,November,Washington,West,Corporate,Furniture,Chairs,Product_13,1989.52,2062.28,-72.76,9,0.2,USD
OD-10117,12-09-2023,16-09-2023,2023,September,Florida,East,Home Office,Furniture,Bookcases,Product_14,930.53,1084.32,-153.79,4,0.3,USD
OD-10118,10-04-2023,14-04-2023,2023,April,Ohio,East,Corporate,Technology,Laptops,Product_11,1346.96,1183.03,163.93,6,0.1,USD
OD-10119,01-05-2023,02-05-2023,2023,May,Texas,East,Corporate,Furniture,Chairs,Product_24,1490.65,1357.84,132.81,13,0.1,USD
OD-10120,24-08-2023,29-08-2023,2023,August,Washington,East,Corporate,Office Supplies,Paper,Product_28,1347.41,1391.84,-44.43,13,0.3,USD
OD-10121,09-01-2024,10-01-2024,2024,January,Texas,Central,Corporate,Technology,Laptops,Product_19,1039.45,1241.04,-201.59,3,0.3,USD
OD-10122,21-04-2022,24-04-2022,2022,April,Florida,East,Corporate,Office Supplies,Paper,Product_26,886.77,707.42,179.35,9,0.0,USD
OD-10123,05-11-2023,12-11-2023,2023,November,Illinois,East,Consumer,Office Supplies,Paper,Product_23,1536.7,1632.35,-95.65,15,0.2,USD
OD-10124,05-07-2022,12-07-2022,2022,July,New York,South,Consumer,Furniture,Bookcases,Product_24,1284.69,980.82,303.87,1,0.0,USD
OD-10125,09-08-2022,13-08-2022,2022,August,Washington,Central,Consumer,Technology,Accessories,Product_10,1457.11,1062.47,394.64,13,0.0,USD
OD-10126,09-06-2022,11-06-2022,2022,June,Arizona,East,Corporate,Office Supplies,Binders,Product_22,876.83,1005.25,-128.42,10,0.3,USD
OD-10127,09-08-2022,16-08-2022,2022,August,Texas,Central,Corporate,Office Supplies,Binders,Product_10,1372.52,1534.84,-162.32,10,0.3,USD
OD-10128,12-11-2022,13-11-2022,2022,November,Florida,East,Consumer,Furniture,Tables,Product_10,1893.38,1626.34,267.04,13,0.1,USD
OD-10129,24-10-2022,27-10-2022,2022,October,Ohio,South,Home Office,Furniture,Chairs,Product_6,301.91,279.25,22.66,9,0.1,USD
OD-10130,03-05-2024,09-05-2024,2024,May,California,South,Home Office,Technology,Phones,Product_14,86.55,63.57,22.98,15,0.0,USD
OD-10131,13-08-2023,17-08-2023,2023,August,Texas,South,Corporate,Office Supplies,Paper,Product_13,90.67,77.04,13.63,6,0.1,USD
OD-10132,25-09-2023,29-09-2023,2023,September,Texas,East,Corporate,Office Supplies,Paper,Product_8,899.57,765.59,133.98,7,0.0,USD
OD-10133,14-11-2022,20-11-2022,2022,November,Texas,Central,Consumer,Technology,Phones,Product_17,1284.79,1058.05,226.74,9,0.1,USD
OD-10134,24-12-2022,27-12-2022,2022,December,Texas,West,Consumer,Office Supplies,Art,Product_5,549.14,472.23,76.91,3,0.1,USD
OD-10135,03-11-2023,04-11-2023,2023,November,Arizona,South,Corporate,Furniture,Bookcases,Product_22,1852.1,1729.75,122.35,10,0.2,USD
OD-10136,05-10-2023,08-10-2023,2023,October,Arizona,East,Corporate,Furniture,Tables,Product_21,640.5,552.12,88.38,5,0.0,USD
OD-10137,17-03-2022,20-03-2022,2022,March,Washington,East,Consumer,Technology,Accessories,Product_27,609.8,485.55,124.25,11,0.0,USD
OD-10138,04-06-2023,08-06-2023,2023,June,Florida,East,Corporate,Technology,Laptops,Product_11,1229.76,996.81,232.95,9,0.1,USD
OD-10139,07-04-2023,08-04-2023,2023,April,New York,East,Home Office,Technology,Laptops,Product_2,533.1,596.53,-63.43,8,0.3,USD
OD-10140,17-09-2023,19-09-2023,2023,September,Ohio,Central,Corporate,Technology,Accessories,Product_25,709.82,534.28,175.54,10,0.0,USD
OD-10141,25-10-2023,28-10-2023,2023,October,Ohio,East,Home Office,Furniture,Tables,Product_10,541.39,523.34,18.05,14,0.1,USD
OD-10142,20-08-2023,26-08-2023,2023,August,Ohio,Central,Home Office,Furniture,Tables,Product_5,1210.33,1222.76,-12.43,2,0.2,USD
OD-10143,21-10-2023,28-10-2023,2023,October,Ohio,East,Home Office,Technology,Phones,Product_17,755.56,834.84,-79.28,6,0.2,USD
OD-10144,08-08-2022,11-08-2022,2022,August,New York,West,Consumer,Technology,Phones,Product_3,626.79,515.9,110.89,13,0.0,USD
OD-10145,07-07-2023,14-07-2023,2023,July,Washington,East,Home Office,Office Supplies,Art,Product_29,1544.3,1870.82,-326.52,3,0.3,USD
OD-10146,05-07-2022,12-07-2022,2022,July,Arizona,West,Home Office,Office Supplies,Art,Product_2,851.17,687.41,163.76,11,0.1,USD
OD-10147,18-09-2023,21-09-2023,2023,September,Florida,West,Home Office,Office Supplies,Paper,Product_10,1932.91,1979.31,-46.4,13,0.3,USD
OD-10148,18-07-2022,21-07-2022,2022,July,Illinois,South,Corporate,Office Supplies,Art,Product_25,794.65,801.35,-6.7,9,0.3,USD
OD-10149,16-04-2024,18-04-2024,2024,April,Arizona,Central,Consumer,Office Supplies,Binders,Product_28,773.86,597.54,176.32,15,0.0,USD
OD-10150,13-06-2023,20-06-2023,2023,June,Illinois,East,Consumer,Furniture,Tables,Product_15,1815.35,2227.56,-412.21,3,0.3,USD
OD-10151,16-08-2022,23-08-2022,2022,August,California,East,Corporate,Technology,Accessories,Product_13,1028.91,1030.32,-1.41,4,0.3,USD
OD-10152,19-01-2023,21-01-2023,2023,January,Washington,East,Home Office,Furniture,Tables,Product_26,334.8,308.23,26.57,1,0.2,USD
OD-10153,29-04-2023,05-05-2023,2023,April,California,South,Corporate,Furniture,Bookcases,Product_29,204.49,172.03,32.46,5,0.1,USD
OD-10154,16-07-2023,22-07-2023,2023,July,Illinois,South,Consumer,Office Supplies,Art,Product_8,637.24,602.22,35.02,1,0.1,USD
OD-10155,23-03-2024,28-03-2024,2024,March,California,East,Corporate,Technology,Phones,Product_21,1054.98,1030.91,24.07,4,0.1,USD
OD-10156,02-01-2022,07-01-2022,2022,January,Texas,South,Consumer,Technology,Phones,Product_17,1950.58,1662.65,287.93,2,0.0,USD
OD-10157,27-04-2023,28-04-2023,2023,April,California,Central,Corporate,Office Supplies,Paper,Product_12,1587.61,1376.08,211.53,6,0.1,USD
OD-10158,06-10-2023,07-10-2023,2023,October,California,Central,Consumer,Office Supplies,Art,Product_12,1114.73,939.05,175.68,14,0.1,USD
OD-10159,03-12-2023,07-12-2023,2023,December,Texas,West,Consumer,Office Supplies,Paper,Product_23,1563.57,1370.69,192.88,8,0.0,USD
OD-10160,14-02-2022,21-02-2022,2022,February,Ohio,Central,Corporate,Furniture,Chairs,Product_27,1108.91,844.63,264.28,5,0.0,USD
OD-10161,15-07-2022,18-07-2022,2022,July,Texas,Central,Corporate,Technology,Phones,Product_26,767.64,816.9,-49.26,15,0.3,USD
OD-10162,31-01-2023,03-02-2023,2023,January,Illinois,South,Corporate,Furniture,Tables,Product_26,211.09,177.81,33.28,7,0.0,USD
OD-10163,22-04-2024,24-04-2024,2024,April,Texas,Central,Consumer,Office Supplies,Paper,Product_11,1338.79,1471.79,-133.0,5,0.3,USD
OD-10164,13-03-2023,15-03-2023,2023,March,California,Central,Corporate,Office Supplies,Paper,Product_24,1746.57,2063.33,-316.76,6,0.3,USD
OD-10165,21-03-2024,22-03-2024,2024,March,New York,South,Corporate,Furniture,Bookcases,Product_1,328.42,407.67,-79.25,10,0.3,USD
OD-10166,10-03-2022,12-03-2022,2022,March,California,Central,Corporate,Office Supplies,Paper,Product_20,349.2,369.1,-19.9,8,0.2,USD
OD-10167,21-02-2024,22-02-2024,2024,February,Washington,Central,Corporate,Office Supplies,Binders,Product_21,593.45,454.63,138.82,2,0.0,USD
OD-10168,27-05-2023,01-06-2023,2023,May,Illinois,East,Corporate,Technology,Laptops,Product_23,920.23,898.61,21.62,10,0.2,USD
OD-10169,18-05-2023,20-05-2023,2023,May,New York,East,Corporate,Furniture,Chairs,Product_29,1441.07,1416.63,24.44,2,0.2,USD
OD-10170,28-12-2023,29-12-2023,2023,December,New York,Central,Corporate,Office Supplies,Art,Product_23,1433.65,1220.86,212.79,12,0.1,USD
OD-10171,05-06-2023,07-06-2023,2023,June,Arizona,West,Consumer,Furniture,Chairs,Product_1,753.75,778.74,-24.99,10,0.2,USD
OD-10172,19-07-2023,21-07-2023,2023,July,Ohio,East,Corporate,Office Supplies,Binders,Product_23,1451.8,1535.58,-83.78,9,0.3,USD
OD-10173,23-04-2024,28-04-2024,2024,April,Texas,Central,Home Office,Furniture,Chairs,Product_15,958.37,1071.38,-113.01,9,0.2,USD
OD-10174,28-04-2024,05-05-2024,2024,April,Ohio,West,Consumer,Office Supplies,Art,Product_17,1825.89,1498.1,327.79,1,0.0,USD
OD-10175,08-11-2022,10-11-2022,2022,November,Illinois,West,Corporate,Furniture,Tables,Product_28,203.78,227.97,-24.19,4,0.2,USD
OD-10176,07-11-2022,12-11-2022,2022,November,New York,West,Home Office,Office Supplies,Binders,Product_6,1334.53,1253.61,80.92,12,0.2,USD
OD-10177,01-08-2023,02-08-2023,2023,August,Illinois,East,Home Office,Furniture,Chairs,Product_21,461.08,505.1,-44.02,10,0.3,USD
OD-10178,01-02-2022,05-02-2022,2022,February,Illinois,Central,Home Office,Office Supplies,Art,Product_16,527.51,620.16,-92.65,13,0.3,USD
OD-10179,16-03-2022,22-03-2022,2022,March,Arizona,South,Corporate,Furniture,Chairs,Product_15,447.84,435.24,12.6,10,0.1,USD
OD-10180,06-01-2024,09-01-2024,2024,January,Washington,South,Consumer,Office Supplies,Paper,Product_17,1145.22,1068.93,76.29,6,0.1,USD
OD-10181,01-10-2022,05-10-2022,2022,October,Illinois,East,Consumer,Furniture,Chairs,Product_13,1735.12,1404.28,330.84,7,0.1,USD
OD-10182,13-06-2022,20-06-2022,2022,June,New York,Central,Consumer,Technology,Laptops,Product_16,1992.14,2052.36,-60.22,8,0.3,USD
OD-10183,25-05-2023,26-05-2023,2023,May,Florida,South,Consumer,Furniture,Tables,Product_19,738.15,757.55,-19.4,1,0.2,USD
OD-10184,13-05-2024,19-05-2024,2024,May,California,Central,Home Office,Office Supplies,Paper,Product_28,259.62,251.34,8.28,3,0.2,USD
OD-10185,22-02-2024,26-02-2024,2024,February,Florida,South,Consumer,Technology,Phones,Product_12,1128.78,1268.68,-139.9,2,0.3,USD
OD-10186,22-02-2024,27-02-2024,2024,February,Texas,East,Consumer,Technology,Laptops,Product_13,777.74,747.61,30.13,6,0.2,USD
OD-10187,23-07-2022,28-07-2022,2022,July,California,East,Consumer,Office Supplies,Paper,Product_5,1441.5,1614.72,-173.22,13,0.3,USD
OD-10188,02-06-2022,07-06-2022,2022,June,Washington,Central,Home Office,Office Supplies,Binders,Product_6,816.26,817.54,-1.28,10,0.2,USD
